Id,rating,sentiment,product_name,review_text,price,discount_percent,returned
25,9.1,positive,Bluetooth Speaker,"Excellent quality and perfect fit, highly recommend!",264.53,1.2,1
26,2.0,negative,Bluetooth Speaker,Poor quality and very disappointing experience.,788.21,39.3,1
27,0.5,negative,Smartwatch,Poor quality and very disappointing experience.,993.93,30.8,0
28,1.9,negative,Desk Lamp,Did not meet my expectations at all.,120.06,4.4,0
29,4.1,neutral,Smartphone,Delivery took longer than expected but item works fine.,677.61,4.4,0
30,0.1,negative,Electric Toothbrush,Stopped working after a few uses.,465.92,42.5,0
31,1.6,negative,Water Bottle,Poor quality and very disappointing experience.,385.64,57.5,0
32,1.8,negative,Water Bottle,It broke after the first day of use.,76.1,56.9,0
33,7.2,positive,Desk Lamp,"Excellent quality and perfect fit, highly recommend!",931.88,21.4,1
34,3.2,negative,LED TV,Terrible quality and unreliable performance.,849.46,12.0,0
35,5.1,neutral,Wireless Headphones,It works as described but could be better.,437.1,56.4,1
36,0.9,negative,Bluetooth Speaker,Customer support was unhelpful and slow.,646.07,56.5,1
37,6.2,neutral,Sneakers,It gets the job done but lacks some features.,828.89,45.0,0
38,8.9,positive,Water Bottle,It works flawlessly and the price was fair.,652.13,47.1,0
39,2.6,negative,Sneakers,Terrible quality and unreliable performance.,616.04,28.7,0
40,3.7,negative,Smartphone,Poor quality and very disappointing experience.,617.38,40.7,1
41,0.2,negative,Bluetooth Speaker,Did not meet my expectations at all.,309.69,3.3,1
42,0.9,negative,Water Bottle,"Would not recommend, waste of money.",630.69,66.2,1
43,8.8,positive,Hair Dryer,High performance and sleek design make it worth every penny.,374.53,37.5,0
44,2.5,negative,Gaming Mouse,Terrible quality and unreliable performance.,733.19,62.8,0
45,9.0,positive,Gaming Mouse,The product exceeded my expectations and arrived on time.,981.77,35.4,0
46,4.6,neutral,Smartwatch,Delivery took longer than expected but item works fine.,551.26,12.0,1
47,1.7,negative,Smartphone,"Would not recommend, waste of money.",53.92,49.6,1
48,0.8,negative,Smartphone,Terrible quality and unreliable performance.,250.07,50.0,1
49,8.3,positive,Laptop,The sound quality is amazing and battery lasts all day.,382.86,65.0,1
50,5.9,neutral,Camera,It’s fine for occasional use.,306.22,54.2,0
51,9.6,positive,Wireless Headphones,"Excellent quality and perfect fit, highly recommend!",494.59,37.3,1
52,3.7,negative,Vacuum Cleaner,Did not meet my expectations at all.,170.3,19.7,1
53,2.6,negative,LED TV,The item arrived damaged and unusable.,765.59,46.2,1
54,5.9,neutral,Camera,It’s fine for occasional use.,228.19,33.4,1
55,5.5,neutral,Tablet,It works as described but could be better.,864.22,30.9,0
56,3.5,negative,Gaming Mouse,The item arrived damaged and unusable.,991.42,25.8,1
57,4.6,neutral,Smartwatch,Delivery took longer than expected but item works fine.,551.26,12.0,1
58,9.7,positive,Smartphone,It works flawlessly and the price was fair.,797.9,21.5,0
59,8.9,positive,Hair Dryer,It works flawlessly and the price was fair.,441.25,38.1,1
60,5.1,neutral,Bluetooth Speaker,Delivery took longer than expected but item works fine.,420.74,1.0,1
61,4.6,neutral,Wireless Headphones,Overall decent but not outstanding.,43.83,45.6,1
62,2.7,negative,Sneakers,The item arrived damaged and unusable.,255.77,4.0,0
63,0.1,negative,Electric Toothbrush,Stopped working after a few uses.,895.54,15.0,1
64,3.8,negative,Vacuum Cleaner,Poor quality and very disappointing experience.,54.59,12.7,1
65,2.3,negative,Electric Toothbrush,Terrible quality and unreliable performance.,990.79,37.1,1
66,0.9,negative,Smartphone,Did not meet my expectations at all.,240.37,59.3,1
67,5.8,neutral,Running Shoes,It’s fine for occasional use.,917.79,32.0,1
68,5.8,neutral,Running Shoes,It’s fine for occasional use.,917.79,32.0,1
69,4.6,neutral,Gaming Mouse,Overall decent but not outstanding.,302.84,59.9,0
70,7.8,positive,Backpack,"Excellent quality and perfect fit, highly recommend!",390.99,44.5,1
71,6.8,neutral,LED TV,Delivery took longer than expected but item works fine.,325.71,27.7,0
72,6.1,neutral,Gaming Mouse,"The product is okay, nothing special.",616.78,62.6,1
73,2.7,negative,Water Bottle,It broke after the first day of use.,528.19,27.6,0
74,2.9,negative,Running Shoes,It broke after the first day of use.,763.82,40.8,1
75,5.8,neutral,Smartwatch,Delivery took longer than expected but item works fine.,730.32,42.5,1
76,9.5,positive,LED TV,The product exceeded my expectations and arrived on time.,858.3,63.6,0
77,4.4,neutral,Desk Lamp,Overall decent but not outstanding.,635.82,28.8,0
78,3.5,negative,Smartwatch,Customer support was unhelpful and slow.,127.65,56.9,1
79,9.2,positive,Camera,The product exceeded my expectations and arrived on time.,532.48,35.6,0
80,5.1,neutral,Hair Dryer,Overall decent but not outstanding.,193.28,10.2,1
81,5.8,neutral,Laptop,"Average quality, matches the price.",692.03,31.5,1
82,3.4,negative,Backpack,It broke after the first day of use.,963.89,19.4,1
83,9.3,positive,LED TV,"Excellent quality and perfect fit, highly recommend!",747.17,34.9,1
84,9.5,positive,Hair Dryer,Fast delivery and great customer service!,939.53,16.5,1
85,7.7,positive,Smartwatch,"Excellent quality and perfect fit, highly recommend!",101.14,62.0,1
86,9.8,positive,Backpack,It works flawlessly and the price was fair.,499.8,69.5,1
87,0.8,negative,Backpack,The item arrived damaged and unusable.,418.74,12.4,1
88,5.0,neutral,Wireless Headphones,The color was slightly off but not a big deal.,452.31,28.5,0
89,4.9,neutral,Desk Lamp,Overall decent but not outstanding.,439.77,50.0,1
90,4.0,neutral,Camera,"Average quality, matches the price.",311.39,22.9,1
91,8.7,positive,Sneakers,Super easy to use and looks amazing.,80.32,49.3,0
92,3.0,negative,Hair Dryer,It broke after the first day of use.,67.14,9.8,0
93,5.0,neutral,LED TV,It gets the job done but lacks some features.,642.6,19.6,1
94,8.9,positive,Electric Toothbrush,"Very durable, I’m extremely satisfied with my purchase.",246.77,23.3,1
95,4.4,neutral,Hair Dryer,Overall decent but not outstanding.,276.94,3.3,0
96,0.1,negative,Vacuum Cleaner,Customer support was unhelpful and slow.,423.48,43.8,0
97,9.1,positive,Smartwatch,The product exceeded my expectations and arrived on time.,204.4,49.2,1
98,0.6,negative,Gaming Mouse,Stopped working after a few uses.,770.21,14.0,0
99,4.3,neutral,Desk Lamp,It gets the job done but lacks some features.,209.96,15.3,0
100,4.6,neutral,Gaming Mouse,Overall decent but not outstanding.,302.84,59.9,0
101,9.7,positive,Gaming Mouse,The product exceeded my expectations and arrived on time.,629.36,1.0,0
102,4.3,neutral,Backpack,"The product is okay, nothing special.",412.23,9.0,1
103,5.8,neutral,Laptop,Delivery took longer than expected but item works fine.,581.78,57.5,0
104,6.3,neutral,Water Bottle,It works as described but could be better.,221.81,48.0,1
105,3.2,negative,Vacuum Cleaner,"Would not recommend, waste of money.",555.11,18.0,0
106,3.8,negative,Wireless Charger,Did not meet my expectations at all.,23.03,38.8,0
107,8.7,positive,Desk Lamp,The sound quality is amazing and battery lasts all day.,391.44,36.3,0
108,2.6,negative,Coffee Maker,Did not meet my expectations at all.,31.84,31.6,0
109,9.9,positive,Wireless Headphones,The sound quality is amazing and battery lasts all day.,331.04,29.2,0
110,4.4,neutral,LED TV,It’s fine for occasional use.,277.5,1.1,0
111,4.6,neutral,Backpack,It works as described but could be better.,208.41,49.9,0
112,6.1,neutral,Smartphone,It works as described but could be better.,511.81,65.0,1
113,4.5,neutral,Laptop,Overall decent but not outstanding.,819.02,58.5,1
114,9.9,positive,Wireless Headphones,The sound quality is amazing and battery lasts all day.,331.04,29.2,0
115,7.7,positive,Camera,"Excellent quality and perfect fit, highly recommend!",349.17,39.3,1
116,0.2,negative,Tablet,Stopped working after a few uses.,840.6,65.6,1
117,9.9,positive,Gaming Mouse,Super easy to use and looks amazing.,62.96,42.0,1
118,6.7,neutral,Vacuum Cleaner,It works as described but could be better.,936.37,64.9,1
119,8.7,positive,Smartphone,Super easy to use and looks amazing.,481.41,4.3,0
120,3.7,negative,Wireless Headphones,Did not meet my expectations at all.,521.99,33.2,1
121,3.6,negative,Wireless Headphones,"Would not recommend, waste of money.",738.83,44.9,0
122,3.6,negative,Wireless Headphones,"Would not recommend, waste of money.",738.83,44.9,0
123,3.4,negative,Backpack,It broke after the first day of use.,963.89,19.4,1
124,4.8,neutral,Smartphone,"The product is okay, nothing special.",705.78,50.6,1
125,6.2,neutral,Desk Lamp,It gets the job done but lacks some features.,181.05,66.0,0
126,0.8,negative,Running Shoes,Poor quality and very disappointing experience.,637.95,26.0,0
127,5.7,neutral,Smartphone,"The product is okay, nothing special.",685.66,30.1,0
128,5.0,neutral,Bluetooth Speaker,Overall decent but not outstanding.,101.76,56.0,0
129,1.2,negative,Electric Toothbrush,Did not meet my expectations at all.,909.59,67.1,1
130,3.5,negative,Hair Dryer,Customer support was unhelpful and slow.,874.5,12.3,0
131,2.0,negative,LED TV,Poor quality and very disappointing experience.,595.21,53.4,0
132,5.5,neutral,Vacuum Cleaner,Delivery took longer than expected but item works fine.,311.5,3.7,0
133,1.2,negative,Bluetooth Speaker,Poor quality and very disappointing experience.,544.78,29.4,0
134,0.4,negative,Water Bottle,Customer support was unhelpful and slow.,393.67,8.4,1
135,6.8,neutral,Gaming Mouse,It gets the job done but lacks some features.,350.24,65.6,0
136,4.7,neutral,Hair Dryer,It’s fine for occasional use.,182.04,28.5,1
137,9.2,positive,Hair Dryer,Fast delivery and great customer service!,998.14,47.1,1
138,9.8,positive,Vacuum Cleaner,High performance and sleek design make it worth every penny.,113.22,11.1,0
139,0.8,negative,Laptop,Terrible quality and unreliable performance.,496.06,58.7,0
140,8.0,positive,Wireless Headphones,The product exceeded my expectations and arrived on time.,806.95,36.3,0
141,4.7,neutral,Camera,"The product is okay, nothing special.",75.92,14.9,1
142,8.0,positive,Wireless Headphones,The product exceeded my expectations and arrived on time.,806.95,36.3,0
143,0.2,negative,Water Bottle,Terrible quality and unreliable performance.,753.34,68.7,1
144,0.1,negative,LED TV,Poor quality and very disappointing experience.,244.25,45.1,1
145,2.4,negative,Gaming Mouse,Customer support was unhelpful and slow.,716.85,50.4,1
146,4.5,neutral,Gaming Mouse,It gets the job done but lacks some features.,798.21,0.6,1
147,3.2,negative,Gaming Mouse,Stopped working after a few uses.,426.71,24.3,0
148,8.9,positive,Vacuum Cleaner,The product exceeded my expectations and arrived on time.,31.36,22.1,1
149,0.4,negative,Smartphone,The item arrived damaged and unusable.,793.8,1.0,0
150,2.6,negative,Smartwatch,The item arrived damaged and unusable.,770.21,9.8,0
151,5.5,neutral,Camera,"Average quality, matches the price.",357.23,27.1,0
152,4.6,neutral,Smartwatch,Delivery took longer than expected but item works fine.,551.26,12.0,1
153,4.1,neutral,Wireless Headphones,The color was slightly off but not a big deal.,144.3,55.5,0
154,3.2,negative,Backpack,"Would not recommend, waste of money.",397.52,19.1,1
155,5.0,neutral,Gaming Mouse,Overall decent but not outstanding.,729.04,45.5,1
156,0.7,negative,Vacuum Cleaner,Did not meet my expectations at all.,391.28,32.3,1
157,5.8,neutral,Wireless Headphones,The color was slightly off but not a big deal.,163.75,40.8,1
158,5.8,neutral,Tablet,The color was slightly off but not a big deal.,324.75,1.7,0
159,1.5,negative,Laptop,Did not meet my expectations at all.,563.83,44.8,1
160,1.1,negative,Electric Toothbrush,"Would not recommend, waste of money.",967.91,31.2,0
161,1.0,negative,Backpack,It broke after the first day of use.,895.96,69.0,1
162,4.8,neutral,Sneakers,Overall decent but not outstanding.,958.77,40.1,1
163,1.9,negative,Running Shoes,Poor quality and very disappointing experience.,667.14,31.9,0
164,3.1,negative,Laptop,The item arrived damaged and unusable.,411.74,61.5,0
165,0.1,negative,Sneakers,"Would not recommend, waste of money.",654.79,41.8,1
166,6.9,neutral,Laptop,Overall decent but not outstanding.,137.44,46.1,0
167,1.2,negative,Camera,The item arrived damaged and unusable.,576.27,2.3,1
168,2.9,negative,Running Shoes,It broke after the first day of use.,763.82,40.8,1
169,5.1,neutral,Hair Dryer,Overall decent but not outstanding.,193.28,10.2,1
170,2.8,negative,Coffee Maker,Did not meet my expectations at all.,16.34,60.0,0
171,2.6,negative,LED TV,The item arrived damaged and unusable.,765.59,46.2,1
172,8.6,positive,LED TV,The sound quality is amazing and battery lasts all day.,892.12,12.4,0
173,6.4,neutral,Electric Toothbrush,Overall decent but not outstanding.,726.39,16.0,0
174,5.3,neutral,Vacuum Cleaner,It’s fine for occasional use.,182.95,68.8,1
175,8.5,positive,Running Shoes,Fast delivery and great customer service!,117.86,13.4,1
176,5.9,neutral,Camera,It’s fine for occasional use.,306.22,54.2,0
177,4.2,neutral,Microwave Oven,Delivery took longer than expected but item works fine.,598.16,38.5,0
178,2.5,negative,Coffee Maker,Stopped working after a few uses.,325.2,31.8,1
179,2.5,negative,Gaming Mouse,Terrible quality and unreliable performance.,733.19,62.8,0
180,10.0,positive,Wireless Charger,It works flawlessly and the price was fair.,710.91,38.5,0
181,6.4,neutral,Wireless Charger,Delivery took longer than expected but item works fine.,983.03,33.1,1
182,6.1,neutral,LED TV,It’s fine for occasional use.,315.31,57.7,0
183,8.0,positive,Smartphone,The product exceeded my expectations and arrived on time.,924.03,68.7,1
184,4.7,neutral,Hair Dryer,"Average quality, matches the price.",682.82,14.8,1
185,4.2,neutral,Backpack,The color was slightly off but not a big deal.,746.04,37.7,1
186,8.8,positive,Microwave Oven,"Very durable, I’m extremely satisfied with my purchase.",587.01,29.7,0
187,8.8,positive,Vacuum Cleaner,"Excellent quality and perfect fit, highly recommend!",11.09,68.1,1
188,9.8,positive,LED TV,High performance and sleek design make it worth every penny.,319.54,50.5,1
189,8.2,positive,Coffee Maker,The sound quality is amazing and battery lasts all day.,750.06,12.5,1
190,1.2,negative,Laptop,Customer support was unhelpful and slow.,918.14,48.2,0
191,4.7,neutral,Coffee Maker,"Average quality, matches the price.",460.81,17.7,0
192,9.5,positive,Smartwatch,The product exceeded my expectations and arrived on time.,725.35,19.0,0
193,5.0,neutral,Gaming Mouse,Overall decent but not outstanding.,729.04,45.5,1
194,4.3,neutral,Bluetooth Speaker,It gets the job done but lacks some features.,757.38,43.7,1
195,7.6,positive,Desk Lamp,"Excellent quality and perfect fit, highly recommend!",758.92,27.7,1
196,0.9,negative,Wireless Headphones,Did not meet my expectations at all.,218.63,29.6,1
197,0.2,negative,Desk Lamp,"Would not recommend, waste of money.",810.96,57.1,0
198,6.9,neutral,Sneakers,Overall decent but not outstanding.,337.58,20.7,0
199,4.8,neutral,Smartphone,"The product is okay, nothing special.",705.78,50.6,1
200,1.4,negative,Water Bottle,It broke after the first day of use.,395.42,63.2,1
201,0.9,negative,Backpack,Did not meet my expectations at all.,418.29,35.6,0
202,7.3,positive,Tablet,Super easy to use and looks amazing.,605.28,24.1,0
203,1.5,negative,Smartwatch,"Would not recommend, waste of money.",394.1,64.7,0
204,3.2,negative,Wireless Headphones,Customer support was unhelpful and slow.,80.79,1.8,1
205,4.8,neutral,Sneakers,Overall decent but not outstanding.,958.77,40.1,1
206,9.6,positive,Wireless Charger,The sound quality is amazing and battery lasts all day.,116.95,63.4,1
207,1.2,negative,Laptop,Customer support was unhelpful and slow.,615.92,0.6,1
208,6.7,neutral,Wireless Charger,It’s fine for occasional use.,105.43,61.5,0
209,0.1,negative,Microwave Oven,Poor quality and very disappointing experience.,726.39,62.2,1
210,2.5,negative,Smartphone,Stopped working after a few uses.,750.22,28.7,0
211,4.6,neutral,Gaming Mouse,Overall decent but not outstanding.,302.84,59.9,0
212,3.3,negative,Hair Dryer,It broke after the first day of use.,390.21,33.1,0
213,7.9,positive,Coffee Maker,The sound quality is amazing and battery lasts all day.,934.05,23.3,1
214,6.0,neutral,Backpack,Delivery took longer than expected but item works fine.,440.37,13.9,1
215,8.6,positive,Desk Lamp,Fast delivery and great customer service!,74.52,38.5,0
216,2.9,negative,LED TV,Did not meet my expectations at all.,937.29,11.1,0
217,4.3,neutral,Microwave Oven,"Average quality, matches the price.",705.21,38.0,0
218,3.2,negative,Wireless Headphones,Customer support was unhelpful and slow.,80.79,1.8,1
219,2.1,negative,LED TV,Did not meet my expectations at all.,834.8,36.0,0
220,8.3,positive,Backpack,Fast delivery and great customer service!,123.18,49.5,1
221,1.4,negative,Microwave Oven,Stopped working after a few uses.,43.66,23.2,1
222,0.2,negative,Desk Lamp,"Would not recommend, waste of money.",810.96,57.1,0
223,5.0,neutral,Running Shoes,"The product is okay, nothing special.",506.34,60.6,0
224,3.0,negative,Smartphone,The item arrived damaged and unusable.,713.46,17.3,0
225,3.6,negative,Running Shoes,The item arrived damaged and unusable.,429.04,28.1,0
226,8.7,positive,Smartphone,High performance and sleek design make it worth every penny.,513.51,1.9,1
227,7.0,positive,Wireless Headphones,High performance and sleek design make it worth every penny.,986.08,55.0,1
228,7.1,positive,Smartphone,"Excellent quality and perfect fit, highly recommend!",736.14,18.1,0
229,4.2,neutral,Coffee Maker,It works as described but could be better.,594.88,59.3,0
230,6.3,neutral,Sneakers,Overall decent but not outstanding.,712.71,30.0,0
231,3.7,negative,Laptop,The item arrived damaged and unusable.,810.01,31.0,0
232,6.0,neutral,Tablet,It works as described but could be better.,888.96,41.2,1
233,3.9,negative,Backpack,Terrible quality and unreliable performance.,237.2,58.6,1
234,5.9,neutral,Tablet,It gets the job done but lacks some features.,379.96,30.5,0
235,6.3,neutral,Sneakers,Overall decent but not outstanding.,712.71,30.0,0
236,7.2,positive,Smartwatch,The product exceeded my expectations and arrived on time.,26.82,47.5,0
237,2.6,negative,Wireless Headphones,The item arrived damaged and unusable.,996.16,6.9,0
238,8.8,positive,Desk Lamp,High performance and sleek design make it worth every penny.,424.27,15.1,1
239,8.0,positive,Hair Dryer,It works flawlessly and the price was fair.,868.84,68.2,1
240,1.7,negative,Smartphone,"Would not recommend, waste of money.",53.92,49.6,1
241,3.8,negative,Laptop,"Would not recommend, waste of money.",295.52,53.3,0
242,9.7,positive,Smartwatch,Super easy to use and looks amazing.,591.68,18.4,1
243,7.6,positive,Desk Lamp,"Excellent quality and perfect fit, highly recommend!",758.92,27.7,1
244,0.4,negative,Backpack,Poor quality and very disappointing experience.,560.44,3.4,0
245,9.8,positive,Bluetooth Speaker,The product exceeded my expectations and arrived on time.,993.38,54.5,0
246,4.7,neutral,Sneakers,Delivery took longer than expected but item works fine.,222.97,21.6,1
247,5.7,neutral,Tablet,It gets the job done but lacks some features.,775.37,15.4,0
248,3.6,negative,Laptop,Terrible quality and unreliable performance.,695.58,61.1,1
249,5.3,neutral,Vacuum Cleaner,It gets the job done but lacks some features.,252.42,50.6,1
250,1.5,negative,Tablet,Terrible quality and unreliable performance.,757.56,61.8,0
251,6.3,neutral,Smartphone,Delivery took longer than expected but item works fine.,267.05,65.4,0
252,2.8,negative,Hair Dryer,Customer support was unhelpful and slow.,440.91,29.5,0
253,6.8,neutral,Smartwatch,"The product is okay, nothing special.",313.26,60.8,1
254,0.8,negative,Tablet,Customer support was unhelpful and slow.,120.07,60.1,1
255,5.7,neutral,Tablet,It gets the job done but lacks some features.,775.37,15.4,0
256,3.6,negative,Microwave Oven,Customer support was unhelpful and slow.,207.33,57.9,1
257,3.1,negative,Smartphone,Terrible quality and unreliable performance.,476.4,32.4,0
258,4.5,neutral,Laptop,"Average quality, matches the price.",109.83,61.1,0
259,1.6,negative,Water Bottle,Poor quality and very disappointing experience.,385.64,57.5,0
260,4.2,neutral,Sneakers,The color was slightly off but not a big deal.,118.57,17.2,0
261,6.4,neutral,Bluetooth Speaker,The color was slightly off but not a big deal.,746.12,35.8,1
262,1.2,negative,Sneakers,Poor quality and very disappointing experience.,441.36,28.4,1
263,3.7,negative,Tablet,"Would not recommend, waste of money.",69.27,14.0,0
264,8.5,positive,Running Shoes,Fast delivery and great customer service!,117.86,13.4,1
265,2.2,negative,Coffee Maker,Did not meet my expectations at all.,291.24,56.6,1
266,3.3,negative,Vacuum Cleaner,It broke after the first day of use.,299.53,62.8,0
267,0.4,negative,LED TV,It broke after the first day of use.,323.61,33.3,0
268,3.0,negative,Hair Dryer,It broke after the first day of use.,67.14,9.8,0
269,5.7,neutral,Running Shoes,It works as described but could be better.,596.91,67.6,1
270,3.9,negative,Sneakers,"Would not recommend, waste of money.",128.65,9.3,0
271,2.6,negative,Wireless Headphones,The item arrived damaged and unusable.,996.16,6.9,0
272,0.2,negative,Tablet,Stopped working after a few uses.,840.6,65.6,1
273,5.0,neutral,Desk Lamp,It gets the job done but lacks some features.,560.83,10.2,0
274,6.3,neutral,Vacuum Cleaner,Delivery took longer than expected but item works fine.,518.92,19.4,1
275,0.4,negative,Water Bottle,Customer support was unhelpful and slow.,393.67,8.4,1
276,6.6,neutral,Gaming Mouse,It’s fine for occasional use.,339.19,8.5,1
277,5.8,neutral,Gaming Mouse,"Average quality, matches the price.",197.24,33.8,1
278,0.6,negative,Hair Dryer,Customer support was unhelpful and slow.,354.87,48.1,1
279,4.7,neutral,Hair Dryer,It’s fine for occasional use.,182.04,28.5,1
280,7.4,positive,Coffee Maker,"Excellent quality and perfect fit, highly recommend!",417.1,65.5,0
281,3.7,negative,Laptop,It broke after the first day of use.,701.73,7.4,1
282,3.8,negative,Sneakers,"Would not recommend, waste of money.",464.02,16.0,0
283,9.7,positive,Water Bottle,It works flawlessly and the price was fair.,945.55,66.3,1
284,4.6,neutral,Microwave Oven,It works as described but could be better.,654.29,31.5,0
285,3.1,negative,Running Shoes,Poor quality and very disappointing experience.,673.78,12.2,0
286,5.8,neutral,Running Shoes,It’s fine for occasional use.,917.79,32.0,1
287,4.3,neutral,Microwave Oven,"Average quality, matches the price.",705.21,38.0,0
288,8.5,positive,Vacuum Cleaner,"Very durable, I’m extremely satisfied with my purchase.",775.3,14.8,0
289,0.0,negative,Backpack,The item arrived damaged and unusable.,456.07,60.7,0
290,9.0,positive,Hair Dryer,Fast delivery and great customer service!,593.85,6.2,1
291,5.7,neutral,Running Shoes,It works as described but could be better.,596.91,67.6,1
292,2.4,negative,Vacuum Cleaner,The item arrived damaged and unusable.,43.12,32.5,1
293,7.4,positive,Vacuum Cleaner,It works flawlessly and the price was fair.,931.67,64.7,1
294,2.2,negative,Coffee Maker,Did not meet my expectations at all.,291.24,56.6,1
295,6.0,neutral,Sneakers,It gets the job done but lacks some features.,19.41,30.6,1
296,6.0,neutral,Running Shoes,The color was slightly off but not a big deal.,317.81,62.4,1
297,5.8,neutral,Wireless Headphones,"The product is okay, nothing special.",264.6,51.6,1
298,3.9,negative,Laptop,Customer support was unhelpful and slow.,846.24,40.9,0
299,3.5,negative,Water Bottle,Stopped working after a few uses.,530.98,48.7,0
300,0.8,negative,Running Shoes,Poor quality and very disappointing experience.,637.95,26.0,0
301,6.3,neutral,Water Bottle,It works as described but could be better.,221.81,48.0,1
302,7.8,positive,Wireless Charger,High performance and sleek design make it worth every penny.,504.32,23.1,1
303,3.8,negative,LED TV,"Would not recommend, waste of money.",250.19,23.8,1
304,1.9,negative,Laptop,Stopped working after a few uses.,386.9,47.7,0
305,8.9,positive,Wireless Charger,"Excellent quality and perfect fit, highly recommend!",979.5,41.9,0
306,8.4,positive,Microwave Oven,"Excellent quality and perfect fit, highly recommend!",754.39,48.1,0
307,4.3,neutral,Hair Dryer,It’s fine for occasional use.,805.75,35.1,0
308,6.5,neutral,Running Shoes,It gets the job done but lacks some features.,431.95,64.3,1
309,9.6,positive,Water Bottle,The product exceeded my expectations and arrived on time.,468.4,36.9,0
310,1.5,negative,Coffee Maker,Customer support was unhelpful and slow.,356.14,15.2,1
311,10.0,positive,Desk Lamp,The product exceeded my expectations and arrived on time.,429.47,66.0,1
312,6.3,neutral,Backpack,It works as described but could be better.,132.27,3.1,1
313,4.1,neutral,Coffee Maker,It’s fine for occasional use.,928.49,42.9,1
314,6.8,neutral,LED TV,It’s fine for occasional use.,614.63,57.2,0
315,7.4,positive,Hair Dryer,Fast delivery and great customer service!,158.72,13.1,0
316,4.1,neutral,LED TV,"Average quality, matches the price.",468.98,52.5,0
317,1.1,negative,Desk Lamp,Stopped working after a few uses.,291.58,43.8,1
318,2.3,negative,Electric Toothbrush,Did not meet my expectations at all.,233.61,10.9,0
319,6.4,neutral,Desk Lamp,Overall decent but not outstanding.,729.02,23.1,0
320,6.2,neutral,Wireless Headphones,It’s fine for occasional use.,983.98,46.9,1
321,3.3,negative,Backpack,Did not meet my expectations at all.,11.51,33.4,1
322,2.3,negative,Gaming Mouse,Stopped working after a few uses.,451.8,49.0,1
323,6.1,neutral,Sneakers,The color was slightly off but not a big deal.,197.99,40.7,0
324,5.0,neutral,Smartwatch,Delivery took longer than expected but item works fine.,819.59,50.1,1
325,0.6,negative,Wireless Charger,It broke after the first day of use.,903.51,18.6,0
326,3.4,negative,LED TV,The item arrived damaged and unusable.,737.86,35.8,1
327,4.2,neutral,Bluetooth Speaker,Delivery took longer than expected but item works fine.,333.05,52.7,1
328,5.0,neutral,Hair Dryer,Overall decent but not outstanding.,104.9,28.6,0
329,5.8,neutral,Running Shoes,It’s fine for occasional use.,917.79,32.0,1
330,3.6,negative,Smartwatch,Stopped working after a few uses.,411.76,29.0,0
331,7.2,positive,Water Bottle,"Excellent quality and perfect fit, highly recommend!",474.77,32.4,1
332,8.8,positive,Wireless Charger,Fast delivery and great customer service!,650.8,39.1,0
333,8.0,positive,Wireless Charger,Super easy to use and looks amazing.,561.7,30.3,1
334,1.0,negative,Backpack,It broke after the first day of use.,895.96,69.0,1
335,0.2,negative,Water Bottle,Terrible quality and unreliable performance.,753.34,68.7,1
336,9.2,positive,Camera,The product exceeded my expectations and arrived on time.,532.48,35.6,0
337,2.6,negative,Camera,"Would not recommend, waste of money.",961.57,62.7,0
338,8.9,positive,Running Shoes,"Very durable, I’m extremely satisfied with my purchase.",426.31,10.4,1
339,1.2,negative,Electric Toothbrush,Did not meet my expectations at all.,909.59,67.1,1
